Regulation,Language,Model,Question_No,Question_Text,FAISS 1st Ranked,FAISS 2nd Ranked,FAISS 3rd Ranked,FAISS Best Choice
EU_AI,English,text-embedding-ada-002,17,When will the AI Act be fully applicable?,17,11,7,17
EU_AI,English,text-embedding-ada-002,18,How will the AI Act be enforced?,18,11,7,18
EU_AI,English,text-embedding-ada-002,19,Why is a European Artificial Intelligence Board needed and what will it do?,19,18,26,19
EU_AI,English,text-embedding-ada-002,20,What are the penalties for infringement?,20,2,3,20
EU_AI,English,text-embedding-ada-002,21,How will the General-Purpose AI Code of Practice be written?,21,22,8,21
EU_AI,English,text-embedding-ada-002,22,"If approved, how does the Code of Practice for general-purpose AI model providers serve as a central tool for compliance?",22,8,21,22
EU_AI,English,text-embedding-ada-002,23,Does the AI Act contain provisions regarding environmental protection and sustainability?,11,23,1,23
EU_AI,English,text-embedding-ada-002,24,How can the new rules support innovation?,24,11,14,24
EU_AI,English,text-embedding-ada-002,25,What role does the AI Pact play in the implementation of the AI Act?,25,11,18,25
EU_AI,English,text-embedding-ada-002,26,What is the international dimension of the EU's approach?,26,1,2,26
EU_AI,German,text-embedding-3-large,1,Warum muss die Verwendung künstlicher Intelligenz reguliert werden?,1,14,5,1
EU_AI,German,text-embedding-3-large,2,Für wen wird die KI-Verordnung gelten?,2,17,1,2
EU_AI,German,text-embedding-3-large,3,Welche Risikoeinstufungen gibt es?,4,3,3,3
EU_AI,German,text-embedding-3-large,4,"Wie erfahre ich, ob ein KI-System mit hohem Risiko behaftet ist?",4,3,6,4
EU_AI,German,text-embedding-3-large,5,Gibt es Beispiele für die in Anhang III genannten Anwendungsfälle mit hohem Risiko?,5,3,3,5
EU_AI,German,text-embedding-3-large,6,Welche Pflichten haben Anbieter von KI-Systemen mit hohem Risiko?,15,6,4,6
EU_AI,German,text-embedding-3-large,7,Welche Rolle spielt die Normung in der KI-Verordnung?,7,23,11,7
EU_AI,German,text-embedding-3-large,8,Wie erfolgt die Regulierung von KI-Modellen mit allgemeinem Verwendungszweck?,8,6,4,8
EU_AI,German,text-embedding-3-large,9,"Warum ist 10^25 FLOPs ein angemessener Schwellenwert für KI-Modelle mit allgemeinem Verwendungszweck (General-Purpose AI, GPAI), die systemische Risiken bergen?",9,8,3,9
EU_AI,German,text-embedding-3-large,10,Welche Verpflichtungen in Bezug auf die Anbringung von Wasserzeichen und die Kenntlichmachung von KI-Ergebnissen sind in der KI-Verordnung vorgesehen?,10,6,15,10
EU_AI,German,text-embedding-3-large,11,Ist die KI-Verordnung zukunftstauglich?,1,11,23,11
EU_AI,German,text-embedding-3-large,12,Wie regelt die KI-Verordnung die biometrische Identifizierung?,12,13,6,12
EU_AI,German,text-embedding-3-large,13,Warum sind für die biometrische Fernidentifizierung besondere Vorschriften erforderlich?,13,12,3,13
EU_AI,German,text-embedding-3-large,14,Wie werden die Grundrechte durch die neuen Vorschriften geschützt?,14,1,15,14
EU_AI,German,text-embedding-3-large,15,"Was ist eine Folgenabschätzung in Bezug auf die Grundrechte? Wer muss eine solche Folgenabschätzung durchführen, und wann?",15,14,3,15
EU_AI,German,text-embedding-3-large,16,"Wie soll diese Verordnung darauf hinwirken, dass KI zu keinen Verzerrungen aufgrund der Rasse oder des Geschlechts führt?",16,14,10,16
EU_AI,German,text-embedding-3-large,17,Ab wann wird die KI-Verordnung uneingeschränkt anwendbar sein?,17,7,2,17
EU_AI,German,text-embedding-3-large,18,Wie werden die Vorschriften der KI-Verordnung durchgesetzt?,6,1,20,6
EU_AI,German,text-embedding-3-large,19,"Warum wird ein Europäisches Gremium für Künstliche Intelligenz gebraucht, und was soll es tun?",19,18,1,19
EU_AI,German,text-embedding-3-large,20,Welche Sanktionen sind bei Verstößen vorgesehen?,20,6,12,20
EU_AI,German,text-embedding-3-large,21,Wie erfolgt die Aufstellung des Praxisleitfadens für KI-Modelle mit allgemeinem Verwendungszweck?,21,21,22,21
EU_AI,German,text-embedding-3-large,22,"Auf welche Weise soll der Praxisleitfaden für Anbieter von KI-Modellen mit allgemeinem Verwendungszweck, falls er genehmigt wird, als zentrales Instrument für die Einhaltung der Vorschriften dienen?",22,21,21,22
EU_AI,German,text-embedding-3-large,23,Enthält die KI-Verordnung Bestimmungen zum Umweltschutz und zur Nachhaltigkeit?,23,1,11,23
EU_AI,German,text-embedding-3-large,24,Wie können die neuen Vorschriften die Innovation fördern?,11,24,1,24
EU_AI,German,text-embedding-3-large,25,Welche Rolle spielt der KI-Pakt bei der Durchführung der KI-Verordnung?,25,18,19,25
EU_AI,German,text-embedding-3-large,26,Welche internationale Dimension hat das EU-Konzept?,26,1,23,26
EU_AI,German,text-embedding-3-small,1,Warum muss die Verwendung künstlicher Intelligenz reguliert werden?,24,3,3,24
EU_AI,German,text-embedding-3-small,2,Für wen wird die KI-Verordnung gelten?,11,17,18,11
EU_AI,German,text-embedding-3-small,3,Welche Risikoeinstufungen gibt es?,4,3,5,3
EU_AI,German,text-embedding-3-small,4,"Wie erfahre ich, ob ein KI-System mit hohem Risiko behaftet ist?",3,6,5,3
EU_AI,German,text-embedding-3-small,5,Gibt es Beispiele für die in Anhang III genannten Anwendungsfälle mit hohem Risiko?,5,4,3,5
EU_AI,German,text-embedding-3-small,6,Welche Pflichten haben Anbieter von KI-Systemen mit hohem Risiko?,3,6,15,6
EU_AI,German,text-embedding-3-small,7,Welche Rolle spielt die Normung in der KI-Verordnung?,11,7,18,7
EU_AI,German,text-embedding-3-small,8,Wie erfolgt die Regulierung von KI-Modellen mit allgemeinem Verwendungszweck?,8,3,18,8
EU_AI,German,text-embedding-3-small,9,"Warum ist 10^25 FLOPs ein angemessener Schwellenwert für KI-Modelle mit allgemeinem Verwendungszweck (General-Purpose AI, GPAI), die systemische Risiken bergen?",8,9,3,9
EU_AI,German,text-embedding-3-small,10,Welche Verpflichtungen in Bezug auf die Anbringung von Wasserzeichen und die Kenntlichmachung von KI-Ergebnissen sind in der KI-Verordnung vorgesehen?,10,11,2,10
EU_AI,German,text-embedding-3-small,11,Ist die KI-Verordnung zukunftstauglich?,11,17,3,11
EU_AI,German,text-embedding-3-small,12,Wie regelt die KI-Verordnung die biometrische Identifizierung?,3,12,11,12
EU_AI,German,text-embedding-3-small,13,Warum sind für die biometrische Fernidentifizierung besondere Vorschriften erforderlich?,12,13,3,13
EU_AI,German,text-embedding-3-small,14,Wie werden die Grundrechte durch die neuen Vorschriften geschützt?,14,3,15,14
EU_AI,German,text-embedding-3-small,15,"Was ist eine Folgenabschätzung in Bezug auf die Grundrechte? Wer muss eine solche Folgenabschätzung durchführen, und wann?",15,14,3,15
EU_AI,German,text-embedding-3-small,16,"Wie soll diese Verordnung darauf hinwirken, dass KI zu keinen Verzerrungen aufgrund der Rasse oder des Geschlechts führt?",16,11,3,16
EU_AI,German,text-embedding-3-small,17,Ab wann wird die KI-Verordnung uneingeschränkt anwendbar sein?,17,11,3,17
EU_AI,German,text-embedding-3-small,18,Wie werden die Vorschriften der KI-Verordnung durchgesetzt?,11,17,18,18
EU_AI,German,text-embedding-3-small,19,"Warum wird ein Europäisches Gremium für Künstliche Intelligenz gebraucht, und was soll es tun?",19,18,26,19
EU_AI,German,text-embedding-3-small,20,Welche Sanktionen sind bei Verstößen vorgesehen?,20,3,10,20
EU_AI,German,text-embedding-3-small,21,Wie erfolgt die Aufstellung des Praxisleitfadens für KI-Modelle mit allgemeinem Verwendungszweck?,22,21,8,21
EU_AI,German,text-embedding-3-small,22,"Auf welche Weise soll der Praxisleitfaden für Anbieter von KI-Modellen mit allgemeinem Verwendungszweck, falls er genehmigt wird, als zentrales Instrument für die Einhaltung der Vorschriften dienen?",22,8,21,22
EU_AI,German,text-embedding-3-small,23,Enthält die KI-Verordnung Bestimmungen zum Umweltschutz und zur Nachhaltigkeit?,11,18,23,23
EU_AI,German,text-embedding-3-small,24,Wie können die neuen Vorschriften die Innovation fördern?,11,24,1,24
EU_AI,German,text-embedding-3-small,25,Welche Rolle spielt der KI-Pakt bei der Durchführung der KI-Verordnung?,11,25,18,25
EU_AI,German,text-embedding-3-small,26,Welche internationale Dimension hat das EU-Konzept?,26,1,18,26
EU_AI,German,text-embedding-ada-002,1,Warum muss die Verwendung künstlicher Intelligenz reguliert werden?,24,1,3,1
EU_AI,German,text-embedding-ada-002,2,Für wen wird die KI-Verordnung gelten?,17,2,18,2
EU_AI,German,text-embedding-ada-002,3,Welche Risikoeinstufungen gibt es?,4,15,3,3
EU_AI,German,text-embedding-ada-002,4,"Wie erfahre ich, ob ein KI-System mit hohem Risiko behaftet ist?",4,3,5,4
EU_AI,German,text-embedding-ada-002,5,Gibt es Beispiele für die in Anhang III genannten Anwendungsfälle mit hohem Risiko?,5,4,3,5
EU_AI,German,text-embedding-ada-002,6,Welche Pflichten haben Anbieter von KI-Systemen mit hohem Risiko?,15,3,6,6
EU_AI,German,text-embedding-ada-002,7,Welche Rolle spielt die Normung in der KI-Verordnung?,7,11,1,7
EU_AI,German,text-embedding-ada-002,8,Wie erfolgt die Regulierung von KI-Modellen mit allgemeinem Verwendungszweck?,8,18,23,8
EU_AI,German,text-embedding-ada-002,9,"Warum ist 10^25 FLOPs ein angemessener Schwellenwert für KI-Modelle mit allgemeinem Verwendungszweck (General-Purpose AI, GPAI), die systemische Risiken bergen?",9,8,3,9
EU_AI,German,text-embedding-ada-002,10,Welche Verpflichtungen in Bezug auf die Anbringung von Wasserzeichen und die Kenntlichmachung von KI-Ergebnissen sind in der KI-Verordnung vorgesehen?,2,11,25,2
EU_AI,German,text-embedding-ada-002,11,Ist die KI-Verordnung zukunftstauglich?,17,3,1,17
EU_AI,German,text-embedding-ada-002,12,Wie regelt die KI-Verordnung die biometrische Identifizierung?,12,18,11,12
EU_AI,German,text-embedding-ada-002,13,Warum sind für die biometrische Fernidentifizierung besondere Vorschriften erforderlich?,13,12,3,13
EU_AI,German,text-embedding-ada-002,14,Wie werden die Grundrechte durch die neuen Vorschriften geschützt?,14,1,24,14
EU_AI,German,text-embedding-ada-002,15,"Was ist eine Folgenabschätzung in Bezug auf die Grundrechte? Wer muss eine solche Folgenabschätzung durchführen, und wann?",15,14,2,15
EU_AI,German,text-embedding-ada-002,16,"Wie soll diese Verordnung darauf hinwirken, dass KI zu keinen Verzerrungen aufgrund der Rasse oder des Geschlechts führt?",16,10,11,16
EU_AI,German,text-embedding-ada-002,17,Ab wann wird die KI-Verordnung uneingeschränkt anwendbar sein?,17,3,7,17
EU_AI,German,text-embedding-ada-002,18,Wie werden die Vorschriften der KI-Verordnung durchgesetzt?,18,11,17,18
EU_AI,German,text-embedding-ada-002,19,"Warum wird ein Europäisches Gremium für Künstliche Intelligenz gebraucht, und was soll es tun?",19,18,26,19
EU_AI,German,text-embedding-ada-002,20,Welche Sanktionen sind bei Verstößen vorgesehen?,20,3,3,20
EU_AI,German,text-embedding-ada-002,21,Wie erfolgt die Aufstellung des Praxisleitfadens für KI-Modelle mit allgemeinem Verwendungszweck?,21,22,21,21
EU_AI,German,text-embedding-ada-002,22,"Auf welche Weise soll der Praxisleitfaden für Anbieter von KI-Modellen mit allgemeinem Verwendungszweck, falls er genehmigt wird, als zentrales Instrument für die Einhaltung der Vorschriften dienen?",22,21,21,22
EU_AI,German,text-embedding-ada-002,23,Enthält die KI-Verordnung Bestimmungen zum Umweltschutz und zur Nachhaltigkeit?,23,1,11,23
EU_AI,German,text-embedding-ada-002,24,Wie können die neuen Vorschriften die Innovation fördern?,24,11,25,24
EU_AI,German,text-embedding-ada-002,25,Welche Rolle spielt der KI-Pakt bei der Durchführung der KI-Verordnung?,25,11,18,25
EU_AI,German,text-embedding-ada-002,26,Welche internationale Dimension hat das EU-Konzept?,26,1,23,26
EU_AI,Greek,text-embedding-3-large,1,Γιατί πρέπει να ρυθμίσουμε τη χρήση της τεχνητής νοημοσύνης;,1,19,18,1
EU_AI,Greek,text-embedding-3-large,2,Σε ποιους έχει εφαρμογή ο κανονισμός για την ΤΝ;,17,11,2,2
EU_AI,Greek,text-embedding-3-large,3,Ποιες είναι οι κατηγορίες κινδύνου;,5,4,3,3
EU_AI,Greek,text-embedding-3-large,4,Πώς μπορώ να γνωρίζω αν ένα σύστημα ΤΝ είναι υψηλού κινδύνου;,15,5,3,15
EU_AI,Greek,text-embedding-3-large,5,"Ποια είναι τα παραδείγματα περιπτώσεων χρήσης υψηλού κινδύνου, όπως ορίζονται στο παράρτημα III;",5,3,3,5
EU_AI,Greek,text-embedding-3-large,6,Ποιες είναι οι υποχρεώσεις των παρόχων συστημάτων ΤΝ υψηλού κινδύνου;,15,7,6,6
EU_AI,Greek,text-embedding-3-large,7,Ποιος θα ήταν ο ρόλος της τυποποίησης στον κανονισμό για την ΤΝ;,17,11,7,7
EU_AI,Greek,text-embedding-3-large,8,Πώς ρυθμίζονται τα μοντέλα ΤΝ γενικού σκοπού;,23,8,22,8
EU_AI,Greek,text-embedding-3-large,9,Γιατί τα 10^25 FLOPS αποτελούν κατάλληλο όριο για την ΤΝ γενικού σκοπού (ΤΝΓΣ) με συστημικούς κινδύνους;,9,8,3,9
EU_AI,Greek,text-embedding-3-large,10,Ποιες είναι οι υποχρεώσεις που ορίζονται στον κανονισμό για την ΤΝ σχετικά με την υδατογραφική σήμανση και την επισήμανση των προϊόντων της ΤΝ;,10,17,11,10
EU_AI,Greek,text-embedding-3-large,11,Είναι ο κανονισμός για την ΤΝ ανθεκτικός στις μελλοντικές εξελίξεις;,11,17,7,11
EU_AI,Greek,text-embedding-3-large,12,Πώς ρυθμίζει ο κανονισμός για την ΤΝ τη βιομετρική ταυτοποίηση;,17,11,12,12
EU_AI,Greek,text-embedding-3-large,13,Γιατί απαιτούνται ειδικοί κανόνες για την εξ αποστάσεως βιομετρική ταυτοποίηση;,13,12,5,13
EU_AI,Greek,text-embedding-3-large,14,Πώς προστατεύουν οι κανόνες τα θεμελιώδη δικαιώματα;,14,15,1,14
EU_AI,Greek,text-embedding-3-large,15,Τι είναι η εκτίμηση επιπτώσεων για τα θεμελιώδη δικαιώματα; Ποιος πρέπει να διενεργεί τέτοια εκτίμηση και πότε;,15,14,2,15
EU_AI,Greek,text-embedding-3-large,16,Πώς αντιμετωπίζει αυτός ο κανονισμός τις προκαταλήψεις λόγω φυλής και φύλου στην ΤΝ;,14,2,16,16
EU_AI,Greek,text-embedding-3-large,17,Πότε θα τεθεί σε πλήρη εφαρμογή ο κανονισμός για την ΤΝ;,17,7,11,17
EU_AI,Greek,text-embedding-3-large,18,Πώς θα επιβάλλεται ο κανονισμός για την ΤΝ;,17,11,7,17
EU_AI,Greek,text-embedding-3-large,19,Γιατί χρειάζεται το Ευρωπαϊκό Συμβούλιο Τεχνητής Νοημοσύνης και τι θα κάνει;,19,18,1,19
EU_AI,Greek,text-embedding-3-large,20,Ποιες είναι οι κυρώσεις σε περίπτωση παράβασης;,20,6,25,20
EU_AI,Greek,text-embedding-3-large,21,Πώς θα καταρτισθεί ο κώδικας ορθής πρακτικής για την ΤΝ γενικού σκοπού;,21,22,21,21
EU_AI,Greek,text-embedding-3-large,22,"Εάν εγκριθεί, πώς θα λειτουργήσει ο κώδικας ορθής πρακτικής ως κεντρικό εργαλείο συμμόρφωσης για τους παρόχους μοντέλων ΤΝ γενικού σκοπού;",22,21,21,22
EU_AI,Greek,text-embedding-3-large,23,Ο κανονισμός για την ΤΝ περιέχει διατάξεις σχετικά με την προστασία του περιβάλλοντος και τη βιωσιμότητα;,23,11,17,23
EU_AI,Greek,text-embedding-3-large,24,Πώς μπορούν οι νέοι κανόνες να στηρίξουν την καινοτομία;,24,11,1,24
EU_AI,Greek,text-embedding-3-large,25,Ποιος είναι ο ρόλος που διαδραματίζει το σύμφωνο για την ΤΝ στην εφαρμογή του κανονισμού για την ΤΝ;,25,17,11,25
EU_AI,Greek,text-embedding-3-large,26,Ποια είναι η διεθνής διάσταση της προσέγγισης της ΕΕ;,26,14,2,26
EU_AI,Greek,text-embedding-3-small,1,Γιατί πρέπει να ρυθμίσουμε τη χρήση της τεχνητής νοημοσύνης;,16,8,19,16
EU_AI,Greek,text-embedding-3-small,2,Σε ποιους έχει εφαρμογή ο κανονισμός για την ΤΝ;,17,18,11,17
EU_AI,Greek,text-embedding-3-small,3,Ποιες είναι οι κατηγορίες κινδύνου;,3,3,4,3
EU_AI,Greek,text-embedding-3-small,4,Πώς μπορώ να γνωρίζω αν ένα σύστημα ΤΝ είναι υψηλού κινδύνου;,3,3,16,3
EU_AI,Greek,text-embedding-3-small,5,"Ποια είναι τα παραδείγματα περιπτώσεων χρήσης υψηλού κινδύνου, όπως ορίζονται στο παράρτημα III;",3,3,5,5
EU_AI,Greek,text-embedding-3-small,6,Ποιες είναι οι υποχρεώσεις των παρόχων συστημάτων ΤΝ υψηλού κινδύνου;,3,3,6,6
EU_AI,Greek,text-embedding-3-small,7,Ποιος θα ήταν ο ρόλος της τυποποίησης στον κανονισμό για την ΤΝ;,18,19,10,18
EU_AI,Greek,text-embedding-3-small,8,Πώς ρυθμίζονται τα μοντέλα ΤΝ γενικού σκοπού;,8,22,23,8
EU_AI,Greek,text-embedding-3-small,9,Γιατί τα 10^25 FLOPS αποτελούν κατάλληλο όριο για την ΤΝ γενικού σκοπού (ΤΝΓΣ) με συστημικούς κινδύνους;,8,9,3,9
EU_AI,Greek,text-embedding-3-small,10,Ποιες είναι οι υποχρεώσεις που ορίζονται στον κανονισμό για την ΤΝ σχετικά με την υδατογραφική σήμανση και την επισήμανση των προϊόντων της ΤΝ;,10,17,2,10
EU_AI,Greek,text-embedding-3-small,11,Είναι ο κανονισμός για την ΤΝ ανθεκτικός στις μελλοντικές εξελίξεις;,17,14,11,11
EU_AI,Greek,text-embedding-3-small,12,Πώς ρυθμίζει ο κανονισμός για την ΤΝ τη βιομετρική ταυτοποίηση;,11,18,23,11
EU_AI,Greek,text-embedding-3-small,13,Γιατί απαιτούνται ειδικοί κανόνες για την εξ αποστάσεως βιομετρική ταυτοποίηση;,13,16,12,13
EU_AI,Greek,text-embedding-3-small,14,Πώς προστατεύουν οι κανόνες τα θεμελιώδη δικαιώματα;,14,20,1,14
EU_AI,Greek,text-embedding-3-small,15,Τι είναι η εκτίμηση επιπτώσεων για τα θεμελιώδη δικαιώματα; Ποιος πρέπει να διενεργεί τέτοια εκτίμηση και πότε;,15,14,12,15
EU_AI,Greek,text-embedding-3-small,16,Πώς αντιμετωπίζει αυτός ο κανονισμός τις προκαταλήψεις λόγω φυλής και φύλου στην ΤΝ;,1,11,3,1
EU_AI,Greek,text-embedding-3-small,17,Πότε θα τεθεί σε πλήρη εφαρμογή ο κανονισμός για την ΤΝ;,17,10,11,17
EU_AI,Greek,text-embedding-3-small,18,Πώς θα επιβάλλεται ο κανονισμός για την ΤΝ;,17,11,20,17
EU_AI,Greek,text-embedding-3-small,19,Γιατί χρειάζεται το Ευρωπαϊκό Συμβούλιο Τεχνητής Νοημοσύνης και τι θα κάνει;,19,18,26,19
EU_AI,Greek,text-embedding-3-small,20,Ποιες είναι οι κυρώσεις σε περίπτωση παράβασης;,3,20,6,20
EU_AI,Greek,text-embedding-3-small,21,Πώς θα καταρτισθεί ο κώδικας ορθής πρακτικής για την ΤΝ γενικού σκοπού;,22,21,10,21
EU_AI,Greek,text-embedding-3-small,22,"Εάν εγκριθεί, πώς θα λειτουργήσει ο κώδικας ορθής πρακτικής ως κεντρικό εργαλείο συμμόρφωσης για τους παρόχους μοντέλων ΤΝ γενικού σκοπού;",22,8,21,22
EU_AI,Greek,text-embedding-3-small,23,Ο κανονισμός για την ΤΝ περιέχει διατάξεις σχετικά με την προστασία του περιβάλλοντος και τη βιωσιμότητα;,20,23,14,23
EU_AI,Greek,text-embedding-3-small,24,Πώς μπορούν οι νέοι κανόνες να στηρίξουν την καινοτομία;,24,14,1,24
EU_AI,Greek,text-embedding-3-small,25,Ποιος είναι ο ρόλος που διαδραματίζει το σύμφωνο για την ΤΝ στην εφαρμογή του κανονισμού για την ΤΝ;,18,19,22,18
EU_AI,Greek,text-embedding-3-small,26,Ποια είναι η διεθνής διάσταση της προσέγγισης της ΕΕ;,26,25,23,26
EU_AI,Greek,text-embedding-ada-002,1,Γιατί πρέπει να ρυθμίσουμε τη χρήση της τεχνητής νοημοσύνης;,16,12,3,16
EU_AI,Greek,text-embedding-ada-002,2,Σε ποιους έχει εφαρμογή ο κανονισμός για την ΤΝ;,18,11,2,2
EU_AI,Greek,text-embedding-ada-002,3,Ποιες είναι οι κατηγορίες κινδύνου;,3,3,15,3
EU_AI,Greek,text-embedding-ada-002,4,Πώς μπορώ να γνωρίζω αν ένα σύστημα ΤΝ είναι υψηλού κινδύνου;,3,4,15,4
EU_AI,Greek,text-embedding-ada-002,5,"Ποια είναι τα παραδείγματα περιπτώσεων χρήσης υψηλού κινδύνου, όπως ορίζονται στο παράρτημα III;",3,5,15,5
EU_AI,Greek,text-embedding-ada-002,6,Ποιες είναι οι υποχρεώσεις των παρόχων συστημάτων ΤΝ υψηλού κινδύνου;,3,15,4,3
